CISO,FOURCORNE345,BRDY,BCHA,PPW,Y861833,TEPC,NWMT
BPAT,BORA,RedB,NEVP,PPW,Y853602,IPCO,NEVP
BPAT,BORA,RedB,CISO,PPW,Y851247,IPCO,NEVP
AZPS,FOURCORNE345,GON.PAV,BCHA,PPW,Y824363,AZPS,NEVP
SWPP,DJ,YTP,BCHA,PPW,Y761692,LAPT,NWMT
BCHA,BRDY,FOURCORNE345,TEPC,PPW,Y723044,IPCO,NULL
BCHA,FGE,JBSN,TEPC,PPW,Y723044,PPW,PPW
BCHA,JBSN,JBSN,TEPC,PPW,Y723044,PPW,IPCO
BCHA,YTP,FGE,TEPC,PPW,Y723044,NWMT,PPW
TEPC,FOURCORNE345,BRDY,BCHA,PPW,Y721763,TEPC,IPCO
TEPC,FOURCORNE345,BORA,BCHA,PPW,Y721762,TEPC,IPCO
EPE,FOURCORNE345,BRDY,BCHA,PPW,Y721759,TEPC,IPCO
AZPS,FOURCORNE345,BRDY,BCHA,PPW,Y721751,TEPC,IPCO
EPE,FOURCORNE345,BORA,BCHA,PPW,Y721750,TEPC,IPCO
CISO,BRDY,BPAT.NWMT,BCHA,PPW,Y696790,PPW,PPW
BCHA,BORA,Glencanyon2,CISO,PPW,Y660994,IPCO,CRCM
BCHA,BORA,RedB,CISO,PPW,Y660251,IPCO,NEVP
BCHA,BORA,FOURCORNE345,CISO,PPW,Y655488,IPCO,PPW
BCHA,BORA,GON.PAV,CISO,PPW,Y653479,IPCO,NEVP
IPCO,BRDY,FOURCORNE345,CISO,PPW,XP13MOA,IPCO,AZPS
CISO,FOURCORNE345,DJ,PSCO,PPW,WEST284,TEPC,TSGT
AZPS,FOURCORNE345,BORA,AVA,PPW,UU02608,AZPS,PPW
WALC,RedB,BORA,BPAT,PPW,UU02382,NEVP,PPW
SWPP,DJ,YTP,BPAT,PPW,UT94308,TSGT,NWMT
BPAT,DJ,FGE,TEPC,PPW,UGTS10I,LAPT,CRCM
TEPC,FOURCORNE345,YTP,NWMT,PPW,UGC5188,TEPC,PPW
TEPC,YTP,BPAT.NWMT,NWMT,PPW,UGC5186,PPW,NWMT
SWPP,BRDY,FOURCORNE345,TEPC,PPW,UGC3475,PPW,NT4C
SWPP,BPAT.NWMT,BRDY,TEPC,PPW,UGC3475,PPW,PPW
BPAT,DJ,FGE,CISO,PPW,UCC615D,LAPT,PPW
BPAT,DJ,FGE,NEVP,PPW,UCC615B,LAPT,CRCM
BPAT,BRDY,FOURCORNE345,WALC,PPW,TSS14TQ,IPCO,TEPC
PACE,YTP,YTP,AESO,PPW,TO42013,LAPT,NWMT
WACM,DJ,YTP,BPAT,PPW,TO31846,TSGT,TEPC
BPAT,BPAT.NWMT,BRDY,WACM,PPW,TO31249,PPW,PPW
BPAT,BRDY,DJ,WACM,PPW,TO31248,PPW,TSGT
BPAT,JBSN,JBSN,WACM,PPW,TO29943,IPCO,PPW
WACM,WYODAK,YTP,BPAT,PPW,TO22905,BHBE,NWMT
BPAT,BRDY,FOURCORNE345,TEPC,PPW,TNX22HF,PPW,TEPC
BPAT,BPAT.NWMT,BRDY,TEPC,PPW,TNX22HF,PPW,PPW
BPAT,BPAT.NWMT,BRDY,PACE,PPW,TLR8845,SC,PPW
BPAT,BPAT.NWMT,BRDY,EPE,PPW,TLR5952,PPW,PPW
BPAT,BRDY,FOURCORNE345,EPE,PPW,TLR5952,PPW,TEPC
BPAT,BPAT.NWMT,BRDY,CISO,PPW,TLR5932,TSGT,TSGT
BPAT,BRDY,FOURCORNE345,CISO,PPW,TLR5932,PPW,TEPC
PSEI,BRDY,FOURCORNE345,CISO,PPW,TLR5916,PPW,TEPC
PSEI,BPAT.NWMT,BRDY,CISO,PPW,TLR5916,PPW,PPW
PSEI,BRDY,FOURCORNE345,PSCO,PPW,TLR5820,PPW,PSCO
PSEI,BPAT.NWMT,BRDY,PSCO,PPW,TLR5820,PPW,PPW
BPAT,BRDY,FOURCORNE345,WACM,PPW,TLR5032,PPW,TSGT
AVRN,FOURCORNE345,DJ,PSCO,PPW,TLR4117,TEPC,BEPW
PSEI,FOURCORNE345,DJ,PSCO,PPW,TLR4105,TEPC,BEPW
EPE,FOURCORNE345,DJ,PSCO,PPW,TLR3843,TEPC,BEPW
NWMT,BRDY,DJ,PSCO,PPW,TLR3729,NWMT,LAPT
BPAT,BRDY,DJ,PSCO,PPW,TLR3668,PPW,BEPW
BPAT,BPAT.NWMT,BRDY,PSCO,PPW,TLR3668,PPW,PPW
AVRN,BPAT.NWMT,BRDY,PACE,PPW,TLR0725,PPW,PPW
PSEI,BPAT.NWMT,BRDY,PACE,PPW,TLQ7516,PPW,PPW
AVA,BORA,DJ,SWPP,PPW,TLQ6755,IPCO,BHBE
BPAT,BORA,DJ,SWPP,PPW,TLQ6754,IPCO,BHBE
PSEI,BORA,DJ,SWPP,PPW,TLQ6593,IPCO,BHBE
SWPP,DJ,JBSN,CISO,PPW,TLQ4761,TSGT,PPW
WALC,RedB,DJ,WACM,PPW,TLP6922,NEVP,TSGT
AVRN,BORA,RedB,CISO,PPW,TLP3303,IPCO,NEVP
NWMT,BORA,RedB,CISO,PPW,TLP3301,IPCO,NEVP
AESO,BPAT.NWMT,BRDY,CISO,PPW,TLP3069,PPW,PPW
TEPC,RedB,WYODAK,PSCO,PPW,TLP1593,NEVP,BHBE
SRP,RedB,DJ,PSCO,PPW,TLP1218,NEVP,BHBE
TEPC,JBSN,WYODAK,PSCO,PPW,TLP1030,PPW,BHBE
CISO,JBSN,DJ,WACM,PPW,TLP0645,PPW,LAPT
CISO,JBSN,DJ,PSCO,PPW,TLP0441,PPW,LAPT
CISO,RedB,DJ,PSCO,PPW,TLP0253,NEVP,BHBE
TEPC,Glencanyon2,FGE,PSCO,PPW,TLO9479,CRCM,CRCM
WACM,DJ,FGE,WACM,PPW,TLO8027,BHBE,CRCM
BPAT,BRDY,FGE,PSCO,PPW,TLO1462,PPW,CRCM
PSEI,BPAT.NWMT,BRDY,SWPP,PPW,TLN2905,PPW,PPW
PSEI,BRDY,DJ,SWPP,PPW,TLN2905,PPW,BHBE
NWMT,YTP,DJ,WACM,PPW,TLM9262,SEHA,TSGT
AVRN,BPAT.NWMT,BRDY,CISO,PPW,TLM6943,PPW,PPW
AVRN,BRDY,FOURCORNE345,CISO,PPW,TLM6943,PPW,TEPC
SWPP,YTP,JBSN,CISO,PPW,TLM0063,SWPP,PPW
NWMT,YTP,FGE,WACM,PPW,TLL9608,NWMT,CRCM
NWMT,YTP,JBSN,CISO,PPW,TLL8686,NWMT,PPW
IPCO,BRDY,BPAT.NWMT,CISO,PPW,TLL7943,PPW,PPW
WACM,BRDY,BPAT.NWMT,CISO,PPW,TLL7942,PPW,PPW
WACM,BRDY,BPAT.NWMT,AVRN,PPW,TLL7936,PPW,PPW
PSCO,BRDY,BPAT.NWMT,AVRN,PPW,TLL7884,PPW,PPW
PSCO,BRDY,BPAT.NWMT,PSEI,PPW,TLL7882,PPW,PPW
WACM,BRDY,BPAT.NWMT,PSEI,PPW,TLL7879,PPW,PPW
WACM,BRDY,BPAT.NWMT,NWMT,PPW,TLL7523,PPW,PPW
PSCO,DJ,JBSN,CISO,PPW,TLL7366,LAPT,PPW
BPAT,JBSN,DJ,BPAT,PPW,TLL2808,PPW,LAPT
PACE,BRDY,BPAT.NWMT,NWMT,PPW,TLL0519,PPW,PPW
NWMT,BORA,DJ,WACM,PPW,TLK9053,PPW,BHBE
TEPC,BORA,FGE,WACM,PPW,TLK3066,PPW,CRCM
TEPC,FOURCORNE345,BORA,WACM,PPW,TLK3066,TEPC,PPW
CISO,RedB,DJ,SWPP,PPW,TLK1225,NEVP,BHBE
CISO,FOURCORNE345,DJ,SWPP,PPW,TLK0910,TEPC,BHBE
PACE,BRDY,BPAT.NWMT,CISO,PPW,TLJ4897,PPW,PPW
NWMT,JBSN,DJ,PSCO,PPW,TLJ4635,PPW,BEPW
AZPS,FOURCORNE345,RedB,BPAT,PPW,TLJ4081,TEPC,PPW
AZPS,RedB,BRDY,BPAT,PPW,TLJ4081,PPW,PPW
AZPS,FOURCORNE345,RedB,CISO,PPW,TLJ3997,TEPC,NEVP
AZPS,FOURCORNE345,BRDY,BPAT,PPW,TLJ3245,TEPC,PPW
PSCO,YTP,JBSN,CISO,PPW,TLJ2937,LAPT,PPW
CISO,BRDY,BPAT.NWMT,NWMT,PPW,TLJ2129,PPW,PPW
CISO,FOURCORNE345,BRDY,NWMT,PPW,TLJ2129,TEPC,PPW
AZPS,BRDY,BPAT.NWMT,AVRN,PPW,TLJ1918,PPW,PPW
AZPS,FOURCORNE345,BRDY,AVRN,PPW,TLJ1918,TEPC,PPW
WALC,FOURCORNE345,BRDY,BPAT,PPW,TLJ0969,TEPC,PPW
WALC,BRDY,BPAT.NWMT,BPAT,PPW,TLJ0969,PPW,PPW
CISO,BRDY,BPAT.NWMT,BPAT,PPW,TLJ0962,PPW,PPW
CISO,FOURCORNE345,BRDY,BPAT,PPW,TLJ0962,TEPC,PPW
TEPC,FOURCORNE345,BORA,BPAT,PPW,TLI7389,TEPC,PPW
TEPC,FOURCORNE345,BRDY,BPAT,PPW,TLI6069,TEPC,PPW
TEPC,BRDY,BPAT.NWMT,BPAT,PPW,TLI5249,PPW,PPW
SWPP,YTP,DJ,CISO,PPW,TLI2694,SWPP,TSGT
SWPP,DJ,JBSN,BPAT,PPW,TLG9659,LAPT,PPW
SWPP,DJ,FGE,CISO,PPW,TLG9463,TSGT,CRCM
SWPP,DJ,JBSN,NWMT,PPW,TLG9440,BHBE,PPW
SWPP,DJ,JBSN,PSEI,PPW,TLG9438,LAPT,PPW
SWPP,DJ,JBSN,GRID,PPW,TLG9404,BHBE,PPW
SWPP,DJ,JBSN,AESO,PPW,TLG9273,BHBE,PPW
SWPP,DJ,JBSN,PACE,PPW,TLG9160,PPW,PPW
GRID,BPAT.NWMT,BRDY,PACE,PPW,TLG8293,PPW,PPW
CISO,JBSN,DJ,SWPP,PPW,TLG2273,PPW,BHBE
SWPP,YTP,DJ,WACM,PPW,TLF8841,SWPP,TSGT
BPAT,JBSN,DJ,PSCO,PPW,TLF8686,PPW,BEPW
SWPP,BPAT.NWMT,BRDY,CISO,PPW,TLF6928,PPW,PPW
SWPP,YTP,FGE,PACE,PPW,TLF6763,NWMT,CRCM
WACM,DJ,JBSN,CISO,PPW,TLF5547,LAPT,PPW
WACM,DJ,JBSN,PACE,PPW,TLF4367,BHBE,PPW
SWPP,YTP,JBSN,PACE,PPW,TLF2193,SWPP,PPW
PACE,BRDY,BPAT.NWMT,BPAT,PPW,TLE9937,PPW,PPW
BPAT,YTP,DJ,WACM,PPW,TLE8933,NWMT,TSGT
BPAT,BORA,FOURCORNE345,WACM,PPW,TLE7346,IPCO,TEPC
CISO,Glencanyon2,YTP,SWPP,PPW,TLE6903,CRCM,NWMT
WACM,BRDY,BPAT.NWMT,GRID,PPW,TLE5722,PPW,PPW
WACM,DJ,JBSN,GRID,PPW,TLE5722,BHBE,PPW
WACM,DJ,JBSN,BPAT,PPW,TLE1638,TSGT,PPW
PSCO,DJ,JBSN,AVRN,PPW,TLE1625,BEPW,PPW
PSCO,BRDY,BPAT.NWMT,CISO,PPW,TLE1624,PPW,PPW
PSCO,BRDY,BPAT.NWMT,BPAT,PPW,TLE1596,TSGT,TSGT
PSCO,DJ,JBSN,BPAT,PPW,TLE1596,WALC,WALC
SWPP,BRDY,BPAT.NWMT,BPAT,PPW,TLE1558,PPW,PPW
NEVP,BRDY,BPAT.NWMT,BPAT,PPW,TLE1329,PPW,PPW
NEVP,FOURCORNE345,BRDY,BPAT,PPW,TLE1329,TEPC,PPW
AZPS,BRDY,BPAT.NWMT,BPAT,PPW,TLE1309,PPW,PPW
WALC,Glencanyon2,BRDY,BPAT,PPW,TLE1234,CRCM,PPW
BPAT,JBSN,JBSN,PACE,PPW,TLD9907,IPCO,PPW
SWPP,DJ,JBSN,EPE,PPW,TLD7852,LAPT,PPW
WACM,BRDY,BPAT.NWMT,BPAT,PPW,TLD6909,PPW,PPW
WACM,Glencanyon2,BRDY,BPAT,PPW,TLD6909,CRCM,PPW
AVRN,BORA,DJ,SWPP,PPW,TLD6659,IPCO,BHBE
NWMT,BPAT.NWMT,DJ,SWPP,PPW,TLD4692,NWMT,LAPT
SWPP,YTP,FGE,CISO,PPW,TLD3525,SWPP,CRCM
AVA,BPAT.NWMT,BRDY,PACE,PPW,TLC6161,PPW,PPW
PSEI,BRDY,FOURCORNE345,WACM,PPW,TLC6160,PPW,CRCM
PSEI,BPAT.NWMT,BRDY,WACM,PPW,TLC6160,PPW,PPW
TEPC,FOURCORNE345,BRDY,NWMT,PPW,TLC4535,TEPC,NWMT
SWPP,JBSN,BRDY,PACE,PPW,TLC4329,PPW,PPW
TEPC,FOURCORNE345,BRDY,GRID,PPW,TLC2733,TEPC,PPW
TEPC,BRDY,BPAT.NWMT,GRID,PPW,TLC2733,PPW,PPW
WACM,DJ,JBSN,AVRN,PPW,TLC2690,LAPT,PPW
SWPP,YTP,JBSN,AVRN,PPW,TLC2684,NWMT,PPW
SWPP,YTP,JBSN,NWMT,PPW,TLC2674,PPW,PPW
SWPP,YTP,JBSN,BPAT,PPW,TLC2541,NWMT,PPW
SWPP,BORA,FOURCORNE345,CISO,PPW,TLB8856,IPCO,AZPS
PSEI,JBSN,FGE,CISO,PPW,TLB7078,IPCO,CRCM
NWMT,BRDY,FOURCORNE345,EPE,PPW,TLB6933,PPW,PNM
NWMT,BPAT.NWMT,BRDY,EPE,PPW,TLB6933,PPW,PPW
CISO,Glencanyon2,BPAT.NWMT,AESO,PPW,TLB6689,CRCM,NWMT
CISO,BRDY,BPAT.NWMT,AESO,PPW,TLB6683,PPW,PPW
CISO,FOURCORNE345,BRDY,AESO,PPW,TLB6683,TEPC,PPW
WACM,DJ,BORA,AESO,PPW,TLB6439,BEPW,IPCO
WACM,DJ,FOURCORNE345,EPE,PPW,TLB6436,BEPW,PNM
WACM,DJ,BORA,NWMT,PPW,TLB6432,BEPW,IPCO
WACM,BRDY,BPAT.NWMT,AESO,PPW,TLB6379,PPW,PPW
WACM,FOURCORNE345,BRDY,AESO,PPW,TLB6379,CRCM,PPW
NWMT,YTP,DJ,CISO,PPW,TLB2824,NWMT,PPW
AESO,BRDY,FOURCORNE345,CISO,PPW,TLB2296,PPW,AZPS
SWPP,JBSN,BRDY,CISO,PPW,TLB1515,PPW,PPW
SWPP,YTP,FOURCORNE345,CISO,PPW,TLA8942,NWMT,TEPC
AZPS,FOURCORNE345,BORA,IPCO,PPW,TLA5349,TEPC,IPCO
CISO,FOURCORNE345,BORA,IPCO,PPW,TLA5325,TEPC,IPCO
TEPC,FOURCORNE345,BORA,IPCO,PPW,TLA4889,TEPC,IPCO
AESO,BPAT.NWMT,BRDY,PACE,PPW,TLA4040,PPW,PPW
BPAT,YTP,DJ,SWPP,PPW,TLA3824,NWMT,LAPT
AZPS,FOURCORNE345,BORA,CISO,PPW,TLA0487,TEPC,IPCO
SWPP,YTP,YTP,NWMT,PPW,TKZ8600,LAPT,PPW
NWMT,BPAT.NWMT,BRDY,CISO,PPW,TKZ6319,PPW,PPW
AESO,BPAT.NWMT,BRDY,GRID,PPW,TKZ2215,PPW,PPW
BPAT,BPAT.NWMT,BRDY,NEVP,PPW,TKZ2086,PPW,PPW
NWMT,BRDY,FOURCORNE345,CISO,PPW,TKZ0465,NWMT,AZPS
CISO,FOURCORNE345,BRDY,AVA,PPW,TKZ0327,TEPC,PPW
CISO,BRDY,BPAT.NWMT,AVA,PPW,TKZ0327,PPW,PPW
BPAT,BRDY,FOURCORNE345,SWPP,PPW,TKY9989,PPW,TEPC
BPAT,BPAT.NWMT,BRDY,SWPP,PPW,TKY9989,PPW,PPW
BPAT,BORA,YTP,SWPP,PPW,TKY9835,IPCO,NWMT
BPAT,BORA,DJ,PSCO,PPW,TKY9483,IPCO,BEPW
BPAT,BPAT.NWMT,YTP,SWPP,PPW,TKY9482,BPAT,NWMT
NWMT,BPAT.NWMT,YTP,SWPP,PPW,TKY9471,NWMT,NWMT
GRID,BORA,DJ,PSCO,PPW,TKY9468,IPCO,BEPW
AZPS,FOURCORNE345,BORA,BPAT,PPW,TKY7566,TEPC,PPW
CISO,BRDY,BPAT.NWMT,SWPP,PPW,TKY7549,PPW,PPW
CISO,BPAT.NWMT,DJ,SWPP,PPW,TKY6042,PPW,LAPT
IPCO,BRDY,BPAT.NWMT,NWMT,PPW,TKY5728,PPW,PPW
PACE,BRDY,BPAT.NWMT,SWPP,PPW,TKY2066,PPW,PPW
CISO,FOURCORNE345,BORA,AESO,PPW,TKX8866,TEPC,IPCO
CISO,FOURCORNE345,BORA,BPAT,PPW,TKX8387,TEPC,PPW
CISO,FOURCORNE345,BORA,NWMT,PPW,TKX8300,TEPC,IPCO
AVRN,BPAT.NWMT,BRDY,WACM,PPW,TKX5697,PPW,PPW
AVRN,BRDY,FOURCORNE345,WACM,PPW,TKX5697,PPW,CRCM
NWMT,BORA,DJ,PSCO,PPW,TKX5102,IPCO,BEPW
NWMT,BPAT.NWMT,BRDY,PACE,PPW,TKX0951,PPW,PPW
AZPS,FOURCORNE345,BRDY,NWMT,PPW,TKW7615,TEPC,PPW
NEVP,RedB,GON.PAV,BPAT,PPW,TKW4927,NEVP,NEVP
GRID,RedB,GON.PAV,BPAT,PPW,TKW4813,NEVP,NEVP
CISO,RedB,GON.PAV,BPAT,PPW,TKW4640,NEVP,NEVP
AZPS,RedB,GON.PAV,BPAT,PPW,TKW3955,NEVP,NEVP
CISO,Glencanyon2,BORA,BPAT,PPW,TKW0661,CRCM,IPCO
TEPC,RedB,GON.PAV,BPAT,PPW,TKV9530,NEVP,NEVP
AZPS,FOURCORNE345,BORA,NWMT,PPW,TKV7117,TEPC,PPW
WACM,FOURCORNE345,BORA,BCHA,PPW,TKV6880,CRCM,IPCO
WACM,DJ,FOURCORNE345,WALC,PPW,TKV0808,BEPW,TEPC
SWPP,YTP,BRDY,NWMT,PPW,TKU9028,NWMT,NWMT
BPAT,BRDY,DJ,BPAT,PPW,TKU1150,PPW,LAPT
TEPC,FOURCORNE345,BRDY,SWPP,PPW,TKT8231,TEPC,NWMT
BPAT,BRDY,RedB,CISO,PPW,TKT7147,PPW,NEVP
TEPC,RedB,BRDY,BPAT,PPW,TKT7023,NEVP,IPCO
SWPP,BRDY,RedB,CISO,PPW,TKT6785,PPW,NEVP
GRID,FOURCORNE345,BRDY,BPAT,PPW,TKT6205,AZPS,PPW
AVRN,BRDY,RedB,CISO,PPW,TKT3490,PPW,NEVP
GRID,RedB,BORA,NEVP,PPW,TKT1731,NEVP,IPCO
EPE,FOURCORNE345,BRDY,BPAT,PPW,TKS7839,TEPC,PPW
NWMT,BRDY,FOURCORNE345,WACM,PPW,TKS7146,PPW,TSGT
NWMT,BPAT.NWMT,BRDY,WACM,PPW,TKS7146,PPW,PPW
AESO,BPAT.NWMT,BRDY,WACM,PPW,TKS7000,PPW,PPW
AESO,BRDY,FOURCORNE345,WACM,PPW,TKS7000,PPW,CRCM
GRID,FOURCORNE345,BORA,BPAT,PPW,TKS5633,TEPC,PPW
CISO,RedB,BRDY,BPAT,PPW,TKS1615,NEVP,PPW
PACE,FOURCORNE345,BRDY,AVRN,PPW,TKS0750,PPW,PPW
PACE,BRDY,BPAT.NWMT,AVRN,PPW,TKS0750,PPW,PPW
BPAT,YTP,JBSN,BPAT,PPW,TKR6359,LAPT,IPCO
BPAT,YTP,DJ,BPAT,PPW,TKR5888,PPW,LAPT
EPE,BRDY,BPAT.NWMT,CISO,PPW,TKR4867,PPW,PPW
EPE,FOURCORNE345,BRDY,CISO,PPW,TKR4867,TEPC,PPW
TEPC,Glencanyon2,BRDY,NWMT,PPW,TKR2541,CRCM,NWMT
